time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|mean_pred,VAR|race|unprivileged mean_pred,VAR|race|privileged mean_pred,VAR|race|unprivileged acc,VAR|race|privileged acc,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[ERD] Error Rate Difference,VAR|race|[A_AOD] Absolute Average Odds Difference,VAR|race|[A_EOD] Absolute Equal Opportunity Difference,VAR|race|[A_SPD] Absolute Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|race|[FR] Flip Rate,VAR|race|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|race|[DF] Differential Fairness for One Attribute,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,VAR|[DF] Differential Fairness,VAR|[DF] Differential Fairness if 0 was the positive label,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MAOD] M Average Odds Difference,id
24:02.8,1,Adult Dataset,FYP VAE,nn keras,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.833896224,0.714808044,0.503865979,0.591080877,0.167945963,0.10982659,0.178962747,0.878612717,0.825420015,-0.028956034,-0.05390525,-0.069136157,0.053192702,0.028956034,0.05390525,0.069136157,0.613684086,0.629502903,0.027018729,0.009261269,0.488275001,0.009261269,0.009261269,0.488275001,0.080847803,0.05390525,0.028956034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
24:01.4,1,Adult Dataset,FYP VAE,nn keras,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.829597789,0.663220089,0.578608247,0.618031659,0.207859994,0.121387283,0.224251278,0.882466281,0.819576333,-0.05173205,-0.069355527,-0.102863995,0.062889948,0.05173205,0.069355527,0.102863995,0.541300296,0.847403388,0.012895302,0.013779348,0.613781079,0.013779348,0.013779348,0.613781079,0.12451555,0.069355527,0.05173205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
23:59.9,1,Adult Dataset,FYP VAE,nn keras,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.830211851,0.679549114,0.543814433,0.604151754,0.190666257,0.121387283,0.203798393,0.870905588,0.822498174,-0.04635711,-0.081007256,-0.08241111,0.048407414,0.04635711,0.081007256,0.08241111,0.59562434,0.678910571,0.019035923,0.011039542,0.518145113,0.011039542,0.011039542,0.518145113,0.098491776,0.081007256,0.04635711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
23:58.4,1,Adult Dataset,FYP VAE,nn keras,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.828676696,0.671383648,0.550257732,0.604815864,0.195271722,0.117533719,0.210007305,0.874759152,0.819941563,-0.055044322,-0.088049509,-0.092473586,0.054817589,0.055044322,0.088049509,0.092473586,0.559664907,0.78678346,0.015965613,0.01238748,0.580417054,0.01238748,0.01238748,0.580417054,0.110696881,0.088049509,0.055044322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
23:56.9,1,Adult Dataset,FYP VAE,nn keras,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.824992324,0.651470588,0.570876289,0.608516484,0.208781087,0.140655106,0.221694668,0.863198459,0.817750183,-0.036222622,-0.060904823,-0.081039562,0.045448276,0.036222622,0.060904823,0.081039562,0.634454168,0.57615798,0.024869512,0.010855813,0.454990227,0.010855813,0.010855813,0.454990227,0.099051443,0.060904823,0.036222622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
23:55.4,1,Adult Dataset,FYP VAE,nn keras,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.830825913,0.703435805,0.50128866,0.585402558,0.169788149,0.100192678,0.182980278,0.880539499,0.821402484,-0.050130839,-0.08420828,-0.082787599,0.059137015,0.050130839,0.08420828,0.082787599,0.547559986,0.826283924,0.015044519,0.011089975,0.60228326,0.011089975,0.011089975,0.60228326,0.096517419,0.08420828,0.050130839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
23:53.9,1,Adult Dataset,FYP VAE,nn keras,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.83573841,0.703891709,0.536082474,0.608632041,0.181455327,0.102119461,0.196493791,0.882466281,0.826880935,-0.063576972,-0.105676483,-0.094374331,0.055585346,0.063576972,0.105676483,0.094374331,0.519708332,0.924156181,0.019957016,0.012642098,0.654487524,0.012642098,0.012642098,0.654487524,0.111052117,0.105676483,0.063576972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
23:52.4,1,Adult Dataset,LFR,nn keras,,['race'],{'c': 'LFR'},0.848326681,0.716257669,0.601804124,0.654061625,0.200184219,0.119460501,0.215485756,0.895953757,0.839298758,-0.034367784,-0.045027742,-0.096025255,0.056654999,0.034367784,0.045027742,0.096025255,0.554377715,0.803824313,0.037457783,0.012863251,0.589909029,0.012863251,0.012863251,0.589909029,0.115470058,0.045027742,0.034367784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
18:48.9,1,Adult Dataset,Reweighing Bias Mitigation,nn keras,,['race'],{},0.833896224,0.664796634,0.610824742,0.636668905,0.21891311,0.123314066,0.237034332,0.884393064,0.824324324,-0.063769732,-0.088006829,-0.113720266,0.060068739,0.063769732,0.088006829,0.113720266,0.520237152,0.922200283,0.128031931,0.015233621,0.653470511,0.015233621,0.015233621,0.653470511,0.13893578,0.088006829,0.063769732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
14:06.4,1,Adult Dataset,FairBalance Bias Mitigation,nn keras,,['race'],{},0.80841265,0.571969697,0.778350515,0.659388646,0.324224747,0.184971098,0.350620891,0.865125241,0.797662527,-0.088397686,-0.088945796,-0.165649793,0.067462713,0.088397686,0.088945796,0.165649793,0.527552987,0.895544193,0.177770955,0.022189943,0.63950597,0.022189943,0.022189943,0.63950597,0.227206886,0.088945796,0.088397686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
10:55.4,1,Adult Dataset,FairMask Bias Mitigation,nn keras,DecisionTreeRegressor,['race'],{},0.862143076,0.770247934,0.600515464,0.67487328,0.185753761,0.100192678,0.201972243,0.911368015,0.852812272,-0.042755028,-0.060179257,-0.101779564,0.058555744,0.042755028,0.060179257,0.101779564,0.496071524,1.015838344,0,0.013634081,0.70103516,0.013634081,0.013634081,0.70103516,0.120037273,0.060179257,0.042755028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
10:52.8,1,Adult Dataset,No Bias Mitigation,nn keras,,['race'],{},0.862143076,0.78238342,0.583762887,0.668634686,0.177770955,0.090558767,0.194302411,0.913294798,0.852447042,-0.05100584,-0.07498933,-0.103743644,0.060847756,0.05100584,0.07498933,0.103743644,0.466071247,1.145594703,0.012895302,0.013897183,0.763416765,0.013897183,0.013897183,0.763416765,0.121121908,0.07498933,0.05100584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
10:50.2,1,Adult Dataset,FYP VAE,ElasticNet,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.802886091,0.781512605,0.239690722,0.366863905,0.07307338,0.069364162,0.073776479,0.884393064,0.787436085,0.050327729,0.085787452,-0.004412317,0.096956979,0.050327729,0.085787452,0.004412317,0.940193441,0.063610908,0.043905434,0.000591061,0.061669636,0.000591061,0.000591061,0.061669636,0.004752461,0.085787452,0.050327729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
10:49.2,1,Adult Dataset,FYP VAE,ElasticNet,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.800736874,0.803827751,0.216494845,0.341116751,0.064169481,0.046242775,0.067567568,0.892100193,0.783418554,0.021793477,0.044899701,-0.021324793,0.108681639,0.021793477,0.044899701,0.021324793,0.684393064,0.461148649,0.017500768,0.002856604,0.379222872,0.002856604,0.002856604,0.379222872,0.022612468,0.044899701,0.021793477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
